indefinite_quantity.n.01	indefinite_quantity.n.01
associate.n.01	associate.n.01
topographic_point.n.01	topographic_point.n.01
political_unit.n.01	political_unit.n.01
metric_unit.n.01	metric_unit.n.01
time.n.05	time.n.05
physical_condition.n.01	physical_condition.n.01
merchandise.n.01	merchandise.n.01
expressive_style.n.01	expressive_style.n.01
psychological_state.n.01	psychological_state.n.01
ending.n.04	ending.n.04
physical_phenomenon.n.01	physical_phenomenon.n.01
written_symbol.n.01	written_symbol.n.01
kind.n.01	kind.n.01
time.n.03	time.n.03
state.n.04	state.n.04
facility.n.01	facility.n.01
system.n.02	system.n.02
decision_making.n.01	decision_making.n.01
situation.n.01	situation.n.01
team.n.01	team.n.01
code.n.03	code.n.03
accomplishment.n.01	accomplishment.n.01
trait.n.01	trait.n.01
thinking.n.01	thinking.n.01
food.n.02	food.n.02
plan.n.01	plan.n.01
wheeled_vehicle.n.01	wheeled_vehicle.n.01
history.n.02	history.n.02
arrangement.n.02	arrangement.n.02
representation.n.01	representation.n.01
agent.n.03	agent.n.03
photograph.n.01	photograph.n.01
system_of_measurement.n.01	system_of_measurement.n.01
boundary.n.01	boundary.n.01
drug.n.01	drug.n.01
creator.n.02	creator.n.02
way.n.06	way.n.06
electronic_equipment.n.01	electronic_equipment.n.01
establishment.n.04	establishment.n.04
standard.n.01	standard.n.01
integer.n.01	integer.n.01
dwelling.n.01	dwelling.n.01
goal.n.01	goal.n.01
kin.n.02	kin.n.02
experience.n.02	experience.n.02
contest.n.01	contest.n.01
appearance.n.01	appearance.n.01
degree.n.01	degree.n.01
professional.n.01	professional.n.01
life.n.03	life.n.03
world.n.03	world.n.03
questioning.n.01	questioning.n.01
implementation.n.02	implementation.n.02
cognitive_state.n.01	cognitive_state.n.01
writing_style.n.01	writing_style.n.01
comment.n.02	comment.n.02
season.n.02	season.n.02
option.n.02	option.n.02
member.n.01	member.n.01
contestant.n.01	contestant.n.01
metric_linear_unit.n.01	metric_linear_unit.n.01
consumer_goods.n.01	consumer_goods.n.01
city.n.01	city.n.01
consequence.n.01	consequence.n.01
practice.n.01	practice.n.01
means.n.01	means.n.01
magnitude_relation.n.01	magnitude_relation.n.01
